6CAD    shu
6CB3    he
6CB2    duo
6CB1    tuo
6298    zhe she
6CBB    zhi
9879    xiang
6CB9    you
6CB8    fei
6CBF    yan
6CBE    zhan
6CBD    gu
6CBC    zhao
888D    pao
8888    jia
888B    dai
8885    niao
8884    ao
8881    yuan
8882    mei
889C    wa
8896    xiu
6291    yi
8892    tan
88AD    xi
88AB    bei
88A4    mao
88A2    pan
88BC    ge
88B7    qia jia
88B1    fu
5364    lu
5367    wo
5366    gua
5361    ka qia
5360    zhan
5363    you
5362    lu
9E2F    yang
536F    mao
536E    zhi
5369    jie
536B    wei
5375    luan
5374    que
5377    juan
5371    wei
5370    yin
5373    ji
537F    qing
5378    xie
537A    jin
5345    sa
5347    sheng
5341    shi
5343    qian
534F    xie
534E    hua
5349    hui
5348    wu
534A    ban
5355    shan dan chan
5357    nan
5356    mai
5351    bei
5353    zhuo
5352    zu
535C    bu bo
535F    bu
535E    bian
535A    bo
7275    qian
7272    sheng
727F    gu
727E    wu
727A    xi
7279    te
7267    mu
7266    mao
7262    lao
7261    mu
726F    gu
726E    jian
7269    wu
7256    you
7252    die
725F    mu mou
725D    pin
725B    niu
7259    ya
7247    pian
724D    du
724C    pai
7248    ban
543E    wu yu
543C    hou
543B    wen
5438    xi
5439    chui
5434    wu
5435    chao
5432    yin
6485    jue
5431    zhi zi
542E    shun
542F    qi
542C    ting
542D    hang keng
542B    han
5428    dun
5429    fen
5426    fou pi
5427    ba
5423    qin
5420    fei
5421    bi
541E    tun
541F    yin
541D    lin
541B    jun
5416    a
5417    ma
5415    lv
5412    zha
5413    xia he
5410    tu
5411    xiang
540E    hou
540F    li
540C    tong
540D    ming
540A    diao
5408    ge he
5409    ji
5406    yao
5404    ge
5403    chi
5401    yu xu
7C4D    ji
7C41    lai
7C40    zhou
7C7D    zi
7C7C    xian
7C7B    lei
7C74    di
7C73    mi
6BD4    bi
6BD5    bi
6BD6    bi
6BD7    pi
6BD2    du
6BD3    yu
6BD9    bi
6BDB    mao
6BC5    yi
6BC1    hui
6BC2    gu
6BCD    mu
6BCF    mei
6BCB    wu
6BF5    san
6CD3    hong
6BF3    cui
6BFD    jian
6BF9    shu
6BE1    zhan
6BEF    tan
6BEA    mu
6BEB    hao
83E5    xi
83E0    bo
83E1    han
83EA    dang
83E9    pu
83F2    fei
83F0    gu
83F1    ling
83FD    shu
83F8    yan
83F9    zu
83C7    gu
83C5    jian
83C0    wan yu
83C1    jing
83CF    he
83CC    jun
83CA    ju
83D6    chang
83D4    fu
83DF    tu
83DC    cai
83DD    ba
83D8    song
622C    jian
622E    lu
622A    jie
6225    deng
6224    gai
6221    kan
6222    ji
623D    hu
623F    fang
623E    li
6234    dai
6237    hu
6233    chuo
620D    shu
620C    qu xu
620F    xi
620E    rong
6208    ge
620B    jian
620A    wu
6206    gang zhuang
621F    ji
6218    zhan
621B    jia
621A    qi
6215    qiang
6217    qiang
6216    huo
6211    wo
6210    cheng
6212    jie
9E37    zhi
5A13    wei
5A11    suo
5A1F    juan
5A1C    na nuo
5A18    niang
5A06    rao
5A07    jiao
5A04    lou
5A05    ya
5A03    wa
5A01    wei
5A0C    li
5A08    luan
5A09    ping
5A36    qu
5A34    xian
5A32    wa
5A31    yu
5A3C    chang
5A25    e
5A23    di
5A20    shen
5A29    mian
7525    sheng
7528    yong
7529    shuai
752B    fu
752C    yong
752D    beng
752F    ning
7530    tian
7531    you
7532    jia
7533    shen
7535    dian
7537    nan
7538    dian
753A    ding
753B    hua
753E    zai
7504    zhen
750D    meng
750F    beng
7511    zeng
7513    pi
7518    gan
7519    dai
751A    shen
751C    tian
751F    sheng
52E4    qin
52FF    wu
52FE    gou
52FA    shao
52F9    bao
52F0    xie
52CB    xun
52C9    mian
52C7    yong
52C3    bo
52DF    mu
52D8    kan
52D6    xu
52D2    lei le
52D0    meng
72F8    li
72FB    suan
72FA    yin
72FC    lang
72F1    yu
72F0    zheng
72F3    yu
72F2    sun
72F4    bi
72F7    juan
72E9    shou
72E8    rong
72ED    xia
72EC    du
72EF    kuai
72EE    shi
72E1    jiao
72E0    hen
72D9    ju
72DE    ning
72D0    hu
72D2    fei
72D7    gou
72C8    bei
72CD    pao
72CE    xia
72C1    yun
72C3    niu
72C2    kuang
72C4    di
6263    kou
6C05    chang
6C07    lu
6C06    pu
90AC    wu
90AE    you
90AF    han
6C0D    qu
90A1    fang
6C0F    shi
90A3    na
90A6    bang
6C15    pie
6C14    qi
90BA    ye
6C16    nai
6C11    min
6C10    di
6C13    mang
90B0    tai
90B1    qiu
6C1F    fu
90B3    pi
6C19    xian
90B5    shao
90B6    bei
6C1A    chuan
9088    miao
6C24    yin
6C27    yang
908B    la
6C21    dong
6C22    qing
9080    yao
6269    kuo
9083    sui
6C29    ya
6C28    an
